,question,reference
1,Summarize the NPS for this year (2024) for Circles life.,"Average NPS of -17 in 2024. 

January 2024: NPS Score of -12.3
February 2024: NPS Score of -10.6
March 2024: NPS Score of -6.7
April 2024: NPS Score of -15.8
May 2024: NPS Score of -20.0
June 2024: NPS Score of -26.1
July 2024: NPS Score of -13.0
August 2024: NPS Score of -23.3
September 2024: NPS Score of -24.4
The scores indicate a fluctuating but generally negative trend across the year. Let me know if you’d like further analysis on specific months or categories.

Positive Highlights:
1. Improvement in January to March with highest NPS score (-6.7) in March, indicating less negative sentiment.
March 2024: Highest NPS score of the year at -6.7, showing a less negative sentiment compared to other months.
February 2024: Achieved an improved NPS score of -10.6, moving closer to a neutral level.
2. Improvement in July of -13 from June's -26.1, indicating an improvement in NPS in June
January and July 2024: Relatively moderate NPS scores of -12.3 and -13.0, indicating better customer sentiment compared to the more negative months.
Positive Aspects**: Many customers appreciate the knowledgeable and friendly customer service, quick response times, and the user-friendly app. They also value the flexibility of plans and frequent promotions.
Negative Highlights
June 2024: Lowest NPS score of the year at -26.1, suggesting significant customer dissatisfaction during this period.
August and September 2024: NPS scores of -23.3 and -24.4, marking sustained low sentiment in the latter half of the year.
March - May 2024: Decline from March to June to -20.0, Sharp decline to -20.0, indicating challenges in maintaining customer satisfaction as the year progressed.
Detractors often cite issues with customer service, including a lack of understanding of their problems, slow response times, and ineffective problem resolution. Additionally, network reliability remains a critical concern, particularly in outer areas of Singapore.

Overall, the trend reflects a need to address the factors driving negative sentiment, particularly in the middle and latter parts of the year. Let me know if you’d like more detail on specific factors affecting these trends."
2,What trends have Circles life observed in NPS in the past 5 years (by years)?,"""2017: +54 
2018: +50
2019: +45
2020: +40
2021: +35
2022: +30
2023: +25
2024: -17
This data indicates a consistent decline in customer satisfaction over the years, culminating in a negative NPS in 2024. """
3,What are the top issues mentioned in the App Store and Google Play Store for Circles.Life?,"Network Reliability: A significant number of users have expressed dissatisfaction with network quality, citing slow internet speeds and connectivity issues. Many have reported that the signal is poor compared to competitors like Singtel, with some describing their experience as ""the worst ever.""
Login and Authentication Problems: Some users experience difficulties logging into their accounts or face repeated authentication errors.

App Crashes and Performance Issues: There are reports of the app crashing unexpectedly or running slowly, affecting usability.

Billing and Payment Concerns: Users have encountered discrepancies in billing, such as unexpected charges or delays in payment processing.

Customer Support Challenges: While the app offers live chat support, some users find response times longer than expected or feel their issues aren't adequately resolved.

Feature Limitations: Certain users desire additional functionalities, like more detailed usage analytics or enhanced plan customization options.

With Examples and number of instances"
4,What emerging themes or trends for Circles.Life are appearing in customer feedback that could impact future NPS? ,"""Analyzing the provided NPS data and customer journey touchpoints, along with reviews from the Google Play and Apple App Stores, reveals several emerging themes in customer feedback that could influence future Net Promoter Scores (NPS):

1. Network Performance: A significant number of detractors cite """"Network is inconsistent or unstable"""" as a primary concern. This indicates that network reliability is a critical factor affecting customer satisfaction.

2. Plan Value and Flexibility: Feedback highlights dissatisfaction with plan offerings, particularly regarding data limits and perceived value. Comments such as """"Plan does not have sufficient data for me"""" suggest that customers seek more flexible and generous data plans.

3. Customer Service Experience: Some customers express frustration with customer service, noting that issues remain unresolved. This underscores the importance of efficient and effective support in maintaining customer loyalty.

4. Rewards and Incentives: The sentiment """"I am not rewarded for my usage"""" reflects a desire for recognition and rewards. Implementing or enhancing loyalty programs could address this concern.

5. App Functionality and User Experience: App store reviews indicate that while many users appreciate the app's features, there are areas for improvement. For instance, the Circles.Life Singapore app has a 4.1-star rating on Google Play, with users praising its plan management capabilities but suggesting enhancements for a more seamless experience. 
GOOGLE PLAY

6. Data Management and Transparency: Customers value real-time tracking of data usage and the ability to manage their plans easily. The app's features, such as topping up data and monitoring usage, are well-received, indicating that transparency and control are important to users. 
GOOGLE PLAY

Recommendations to Enhance NPS:

Enhance Network Stability: Invest in infrastructure to improve network reliability, addressing the primary concern of inconsistent service.

Revise Plan Offerings: Introduce more flexible plans with higher data allowances to meet customer expectations and reduce churn.

Improve Customer Support: Streamline support processes to ensure quick and effective resolution of issues, enhancing the overall customer experience.

Implement Loyalty Programs: Develop or enhance reward systems to recognize and incentivize customer loyalty, addressing feedback about the lack of rewards.

Optimize App Performance: Continuously update the app to improve user experience, focusing on functionality and ease of use to meet customer expectations.

By addressing these areas, the company can improve customer satisfaction and positively influence future NPS."""
5,How many customers are passive in Circles.Life and what are the reasons for that?,"Circles.Life has approximately 1,478 passive customers in 2024. The top reasons for passivity include:

Network
Limited Network Coverage: Issues in certain areas, such as high-rise, underground, or remote locations.
Inconsistent or Unstable Network: Occasional reliability issues.
Slow Network Speed: Reports of slow connectivity at times.

Rewards
Lack of Usage Rewards: Feeling underappreciated without rewards for usage.

Plans
Perceived Low Value of Plans: Some plans not seen as worth the cost.
Limited Plan Flexibility: Dissatisfaction with plan customization options.
Affordable Alternatives: Perception of cheaper options available elsewhere.

Roaming
Complicated Roaming: Roaming features being difficult to use.
"
6,"
What are the top issues causing detractors for Circles.Life and how can we solve these concerns?","Network Coverage and Reliability: Customers have reported inconsistent network coverage and occasional service disruptions, particularly in certain areas.

Solution: Invest in expanding and upgrading network infrastructure to ensure consistent coverage and reliability across all regions.

Customer Service Responsiveness: Feedback indicates delays in response times and difficulties in resolving issues through customer support channels.

Solution: Enhance customer support by increasing staffing, providing additional training, and extending service hours to ensure timely and effective assistance. Potential to invest in self-help solutions to reduce need for customer service human agent. 

Billing and Charges: Some users have experienced unexpected charges or billing discrepancies, leading to frustration.

Solution: Implement transparent billing practices, offer detailed usage summaries, and establish a straightforward dispute resolution process to address billing concerns promptly.

SIM Card Activation and Delivery: Delays in SIM card delivery and activation have been reported, causing inconvenience to new customers.

Solution: Streamline the SIM card distribution and activation processes to ensure prompt delivery and seamless activation for new users. Consider implementing eSim and encouraging eSim for eligible customers.

Mobile App Performance: Users have encountered bugs and usability issues with the Circles.Life mobile app, affecting their overall experience.

Solution: Regularly update the mobile app to address bugs, enhance user interface design (eg conduct user feedback studies), and incorporate user feedback to improve functionality and user experience. "
7,Compare the NPS of Circles with other Singapore Telcos. Which specific features or services offered by competitors contribute to their higher NPS compared to Circles.Life?,"Circles.Life has achieved a Net Promoter Score (NPS) of -17 in 2024, indicating a low level of customer satisfaction and loyalty. For instance, while it is higher than Starhub, this is lower than other competitors such as Singtel. 

Several features and services offered by competitors may contribute to their NPS performance:

Good customer service: Patient, helpful & professional in answering enquiries with fast issue resolution. Traditional telcos often have extensive customer service operations, including physical stores and dedicated support lines, offering personalized assistance that can positively impact customer perceptions.

Good app: Useful & app with good experience. For instance, it is easy to see plan details, recontract eligibility, make changes to add on. 

Comprehensive service bundles: Major telcos such as Singtel, StarHub, and M1 offer extensive service bundles that include mobile, broadband, and TV services. This integrated approach provides customers with the convenience of a single provider for multiple needs, potentially enhancing customer satisfaction. 

Network reliability & coverage: Established providers have invested heavily in infrastructure, resulting in robust network coverage and performance. For instance, Singtel / StarHub has been recognized for its superior mobile network performance in Singapore. 
Data speeds for MVNOs are deprioritised in crowded areas. 

Extensive roaming: Telcos such as Singtel offer extensive roaming, making it a good choice for expats

Billing transparency: Singtel's billing statements are clear and comprehensive. StarHub's are equally transparent. M1 in addition to transparency is known for simplicity. 
"
8,"What key drivers contribute to customers' loyalty and advocacy for Circles.Life, such as mobile plans, connectivity, or customer service?","4 Key Strategies:

Exceptional Customer Service: The company emphasizes proactive support, including onsite troubleshooting and rapid issue resolution

Innovative Loyalty Program: The ""Circle of Joy"" program rewards customers based on their tenure, offering points redeemable for data bonuses, bill waivers, and premium gadgets

Customer-Centric Innovations: Circles.Life actively seeks customer feedback to develop new products and services, such as customizable mobile plans and eSIM technology, aligning offerings with user needs

Engaging Marketing Campaigns: The company employs creative campaigns and community engagement initiatives, like the #theweirdchallenge and #BeBold campaigns, to foster a strong connection with customers. 
"
9,"Based on the reasons for NPS, which aspects should Circles.Life focus on?","Positive Aspects (Promoter Reasons):
Value for Money: Many customers appreciate plans that they perceive as providing good value.
Flexibility of Plans: Flexibility is a key positive aspect for promoters.
High Data Allowance: Promoters value plans with a substantial data allowance.
Consistent and Stable Network: Stable network service contributes positively to customer loyalty.
Easy-to-Understand Billing: Clear billing practices are another reason customers recommend Circles.Life.

Areas for Improvement (Detractor Reasons):
Network Consistency and Coverage: Network issues, such as inconsistency, slow speed, and coverage gaps, are frequent complaints.
Plan Value: Some detractors feel that certain plans do not justify the cost.
Customer Service: Slow response times and unsatisfactory resolutions from customer service impact detractors' experiences negatively.
Rewards Program: Customers who feel unrewarded or find it difficult to accumulate points express dissatisfaction.
App Usability: A few detractors find the app interface outdated or challenging to navigate."
10,What are the primary reasons for promoters' high score?,"Value for Money: Affordable plans that provide good value.
Flexible Plans: Ability to customize plans to meet individual needs.
High Data Allowance: Generous data provisions.
Consistent and Stable Network: Reliable connectivity and minimal disruptions.
Clear Billing: Easy-to-understand and transparent billing.
Data Rollover: Ability to carry over unused data adds extra value.
Responsive Customer Service: Quick and helpful support.
Fast Network Speed: Strong network performance.
Effective Problem Resolution: Customer service successfully resolving issues."
